threshold,accuracy,correct,total,false_positive_out_of_scope,false_fallback_in_scope,answered_count,fallback_count
0.41,0.8571428571428571,6,7,0,1,4,3
0.415,0.8571428571428571,6,7,0,1,4,3
0.42,0.8571428571428571,6,7,0,1,4,3
0.425,0.8571428571428571,6,7,0,1,4,3
0.43,0.8571428571428571,6,7,0,1,4,3
0.435,0.8571428571428571,6,7,0,1,4,3
0.44,0.8571428571428571,6,7,0,1,4,3
0.445,0.8571428571428571,6,7,0,1,4,3
0.45,0.8571428571428571,6,7,0,1,4,3
0.455,0.8571428571428571,6,7,0,1,4,3
0.46,0.8571428571428571,6,7,0,1,4,3
0.465,0.8571428571428571,6,7,0,1,4,3
0.47,0.8571428571428571,6,7,0,1,4,3
0.475,0.8571428571428571,6,7,0,1,4,3
0.48,0.8571428571428571,6,7,0,1,4,3
0.485,0.8571428571428571,6,7,0,1,4,3
0.49,0.8571428571428571,6,7,0,1,4,3
0.495,0.8571428571428571,6,7,0,1,4,3
0.5,0.8571428571428571,6,7,0,1,4,3
0.505,0.8571428571428571,6,7,0,1,4,3
0.51,0.8571428571428571,6,7,0,1,4,3
0.515,0.8571428571428571,6,7,0,1,4,3
0.52,0.7142857142857143,5,7,0,2,3,4
0.525,0.7142857142857143,5,7,0,2,3,4
0.53,0.7142857142857143,5,7,0,2,3,4
0.535,0.7142857142857143,5,7,0,2,3,4
0.54,0.7142857142857143,5,7,0,2,3,4
0.545,0.7142857142857143,5,7,0,2,3,4
0.55,0.7142857142857143,5,7,0,2,3,4
0.555,0.7142857142857143,5,7,0,2,3,4
0.56,0.7142857142857143,5,7,0,2,3,4
0.565,0.7142857142857143,5,7,0,2,3,4
0.57,0.7142857142857143,5,7,0,2,3,4
0.575,0.7142857142857143,5,7,0,2,3,4
0.58,0.7142857142857143,5,7,0,2,3,4
0.585,0.7142857142857143,5,7,0,2,3,4
0.59,0.7142857142857143,5,7,0,2,3,4
0.595,0.7142857142857143,5,7,0,2,3,4
0.6,0.7142857142857143,5,7,0,2,3,4
0.605,0.7142857142857143,5,7,0,2,3,4
0.61,0.7142857142857143,5,7,0,2,3,4
0.615,0.7142857142857143,5,7,0,2,3,4
0.62,0.7142857142857143,5,7,0,2,3,4
0.625,0.7142857142857143,5,7,0,2,3,4
0.63,0.7142857142857143,5,7,0,2,3,4
0.635,0.7142857142857143,5,7,0,2,3,4
0.64,0.7142857142857143,5,7,0,2,3,4
0.645,0.5714285714285714,4,7,0,3,2,5
0.65,0.5714285714285714,4,7,0,3,2,5
0.655,0.5714285714285714,4,7,0,3,2,5
0.66,0.5714285714285714,4,7,0,3,2,5
0.665,0.5714285714285714,4,7,0,3,2,5
0.67,0.5714285714285714,4,7,0,3,2,5
0.675,0.5714285714285714,4,7,0,3,2,5
0.68,0.5714285714285714,4,7,0,3,2,5
0.685,0.5714285714285714,4,7,0,3,2,5
0.69,0.5714285714285714,4,7,0,3,2,5
0.695,0.5714285714285714,4,7,0,3,2,5
0.7,0.5714285714285714,4,7,0,3,2,5
0.705,0.42857142857142855,3,7,0,4,1,6
0.71,0.2857142857142857,2,7,0,5,0,7
0.715,0.2857142857142857,2,7,0,5,0,7
0.72,0.2857142857142857,2,7,0,5,0,7
0.725,0.2857142857142857,2,7,0,5,0,7
0.73,0.2857142857142857,2,7,0,5,0,7
0.735,0.2857142857142857,2,7,0,5,0,7
0.74,0.2857142857142857,2,7,0,5,0,7
0.745,0.2857142857142857,2,7,0,5,0,7
0.75,0.2857142857142857,2,7,0,5,0,7
0.755,0.2857142857142857,2,7,0,5,0,7
0.76,0.2857142857142857,2,7,0,5,0,7
0.765,0.2857142857142857,2,7,0,5,0,7
0.77,0.2857142857142857,2,7,0,5,0,7
0.775,0.2857142857142857,2,7,0,5,0,7
0.78,0.2857142857142857,2,7,0,5,0,7
0.785,0.2857142857142857,2,7,0,5,0,7
0.79,0.2857142857142857,2,7,0,5,0,7
0.795,0.2857142857142857,2,7,0,5,0,7
0.8,0.2857142857142857,2,7,0,5,0,7
